Provider  	Language	AlertFile                     	  BLEU
googlecloud	vi   	tsunami_threat_message.txt    	  0.41
googlecloud	vi   	tsunami_warning_1.txt         	  1.02
googlecloud	vi   	tsunami_warning_cancel.txt    	  0.93
googlecloud	vi   	wind_advisory_1.txt           	  5.97
googlecloud	vi   	winterstorm_advisory_1.txt    	  6.36
googlecloud	vi   	winterstorm_warning_1_long.txt	  4.46
googlecloud	vi   	winterstorm_warning_2_short.txt	 10.65
googlecloud	vi   	winterstorm_warning_3.txt     	  6.44
googlecloud	vi   	winterstorm_watch_1.txt       	  0.08
googlecloud	vi   	winterstorm_watch_2.txt       	  1.07
googlecloud	vi   	winterstorm_watch_3.txt       	  2.26
googlecloud	ko   	avalanche_warning_1.txt       	  0.53
googlecloud	ko   	avalanche_watch_1.txt         	  2.16
googlecloud	ko   	blowingdust_advisory_1.txt    	  1.08
googlecloud	ko   	coldweather_advisory_1.txt    	  2.31
googlecloud	ko   	densefog_advisory_1.txt       	  1.15
googlecloud	ko   	extremecold_warning_1.txt     	  2.00
googlecloud	ko   	extremecold_watch_1.txt       	  2.00
googlecloud	ko   	fireweather_watch_1.txt       	  2.26
googlecloud	ko   	fireweather_watch_2.txt       	  5.62
googlecloud	ko   	flashflood_warning_1.txt      	 10.26
googlecloud	ko   	flashflood_warning_2_long.txt 	  1.73
googlecloud	ko   	flashflood_watch_1.txt        	  2.92
googlecloud	ko   	flood_advisory_1.txt          	  7.01
googlecloud	ko   	flood_advisory_2.txt          	  2.78
googlecloud	ko   	frost_advisory_1.txt          	  4.15
googlecloud	ko   	helene_advisory_num15.txt     	  0.83
googlecloud	ko   	helene_discussion_num15.txt   	  1.50
googlecloud	ko   	helene_update_1.txt           	  3.77
googlecloud	ko   	highwind_warning_1.txt        	  4.13
googlecloud	ko   	highwind_watch_1.txt          	  9.61
googlecloud	ko   	redflag_warning_1.txt         	  1.02
googlecloud	ko   	redflag_warning_2.txt         	  7.18
googlecloud	ko   	redflag_warning_3.txt         	  3.52
googlecloud	ko   	snowsquall_warning_1.txt      	  4.93
googlecloud	ko   	tornado_warning_1.txt         	  5.86
googlecloud	ko   	tornado_warning_2.txt         	  3.04
googlecloud	ko   	tornado_warning_3.txt         	  9.20
googlecloud	ko   	tornado_warning_4.txt         	  1.02
googlecloud	ko   	tornado_warning_5.txt         	  2.70
googlecloud	ko   	tornado_watch_1.txt           	  3.17
googlecloud	ko   	tornado_watch_2.txt           	  3.86
googlecloud	ko   	tornado_watch_3.txt           	  1.52
googlecloud	ko   	tornado_watch_4.txt           	  2.66
googlecloud	ko   	tstorm_warning_1.txt          	  5.64
googlecloud	ko   	tstorm_warning_2.txt          	  2.05
googlecloud	ko   	tstorm_warning_3.txt          	  5.45
googlecloud	ko   	tstorm_warning_4.txt          	  1.83
googlecloud	ko   	tstorm_warning_5.txt          	  5.70
googlecloud	ko   	tstorm_watch_1.txt            	  0.07
googlecloud	ko   	tstorm_watch_2.txt            	  3.14
googlecloud	ko   	tsunami_advisory_1.txt        	  1.47
googlecloud	ko   	tsunami_advisory_2.txt        	  3.04
googlecloud	ko   	tsunami_info_statement_1.txt  	  1.07
googlecloud	ko   	tsunami_info_statement_2.txt  	  3.16
googlecloud	ko   	tsunami_test_template.txt     	  0.69
googlecloud	ko   	tsunami_threat_message.txt    	  0.15
googlecloud	ko   	tsunami_warning_1.txt         	  0.95
googlecloud	ko   	tsunami_warning_cancel.txt    	  0.70
googlecloud	ko   	wind_advisory_1.txt           	  4.41
googlecloud	ko   	winterstorm_advisory_1.txt    	  5.43
googlecloud	ko   	winterstorm_warning_1_long.txt	  2.70
googlecloud	ko   	winterstorm_warning_2_short.txt	  6.74
googlecloud	ko   	winterstorm_warning_3.txt     	  4.16
googlecloud	ko   	winterstorm_watch_1.txt       	  0.11
googlecloud	ko   	winterstorm_watch_2.txt       	  1.14
googlecloud	ko   	winterstorm_watch_3.txt       	  3.62
googlecloud	km   	avalanche_warning_1.txt       	  0.51
googlecloud	km   	avalanche_watch_1.txt         	  2.16
googlecloud	km   	blowingdust_advisory_1.txt    	  1.50
googlecloud	km   	coldweather_advisory_1.txt    	  2.73
googlecloud	km   	densefog_advisory_1.txt       	  0.84
googlecloud	km   	extremecold_warning_1.txt     	  2.53
googlecloud	km   	extremecold_watch_1.txt       	  1.65
googlecloud	km   	fireweather_watch_1.txt       	  2.49
googlecloud	km   	fireweather_watch_2.txt       	  4.87
googlecloud	km   	flashflood_warning_1.txt      	 12.88
googlecloud	km   	flashflood_warning_2_long.txt 	  1.81
googlecloud	km   	flashflood_watch_1.txt        	  3.08
googlecloud	km   	flood_advisory_1.txt          	  8.32
googlecloud	km   	flood_advisory_2.txt          	  2.87
googlecloud	km   	frost_advisory_1.txt          	  4.34
googlecloud	km   	helene_advisory_num15.txt     	  0.94
googlecloud	km   	helene_discussion_num15.txt   	  1.58
googlecloud	km   	helene_update_1.txt           	  4.31
googlecloud	km   	highwind_warning_1.txt        	  4.62
googlecloud	km   	highwind_watch_1.txt          	 10.91
googlecloud	km   	redflag_warning_1.txt         	  1.12
googlecloud	km   	redflag_warning_2.txt         	  8.45
googlecloud	km   	redflag_warning_3.txt         	  3.97
googlecloud	km   	snowsquall_warning_1.txt      	  5.23
